,District,PROPERTY Address,PROPERTY Boro-Block-Lot,PROPERTY Building Classification,PROPERTY Condo Section,PROPERTY Full Market Value,PROPERTY Gross Income per SqFt,PROPERTY Gross SqFt,PROPERTY Market Value per SqFt,PROPERTY Neighborhood,PROPERTY Total Units,PROPERTY Year Built,RENTAL 1 Address,RENTAL 1 Boro-Block-Lot,RENTAL 1 Building Classification,RENTAL 1 Full Market Value,RENTAL 1 Gross Income per SqFt,RENTAL 1 Gross SqFt,RENTAL 1 Market Value per SqFt,RENTAL 1 Neighborhood,RENTAL 1 Total Units,RENTAL 1 Year Built,Year
4152,Brooklyn,400 OCEAN PARKWAY,3-05374-7501,R4-ELEVATOR,683-R1,1848008,0,19110,97,OCEAN PARKWAY-NORTH,22,1989,829 GREENWOOD AVENUE,3-05279-0043,D1-ELEVATOR,9220000,21.27,104640,88,WINDSOR TERRACE,135,1982,2010
4153,Brooklyn,542 DAHILL ROAD,3-05381-7501,R2-WALK-UP,169-R1,1079999,15.41,17751,61,BOROUGH PARK,22,0,922 42 STREET,3-05595-0014,C1-WALK-UP,1050000,15.41,32000,32.8,BOROUGH PARK,27,1924,2010
4154,Brooklyn,597 OCEAN PARKWAY,3-05400-7501,R4-ELEVATOR,2462-R1,4867928,17.5,43528,112,OCEAN PARKWAY-NORTH,44,2008,829 GREENWOOD AVENUE,3-05279-0043,D1-ELEVATOR,9220000,21.27,104640,88,WINDSOR TERRACE,135,1982,2010
4155,Brooklyn,4111 18 AVENUE,3-05416-7501,R4-ELEVATOR,2067-R1,708000,13.25,14630,48.4,OCEAN PARKWAY-NORTH,12,0,392 EAST 4 STREET,3-05355-0012,C1-WALK-UP,1180000,15.73,22176,53,OCEAN PARKWAY-NORTH,28,1928,2010
4156,Brooklyn,702 OCEAN PARKWAY,3-05423-7501,R4-ELEVATOR,1595-R1,2479999,0,16424,151,OCEAN PARKWAY-NORTH,15,2004,1410 EAST 10 STREET,3-06591-0007,D9-ELEVATOR,7250000,50,29430,246,OCEAN PARKWAY-NORTH,46,1997,2010
4157,Brooklyn,215 PARKVILLE AVENUE,3-05424-7501,R4-ELEVATOR,1675-R1,1010002,0,9010,112,OCEAN PARKWAY-NORTH,12,2006,378 93 STREET,3-06107-0033,D1-ELEVATOR,800000,20.27,10555,76,BAY RIDGE,12,2003,2010
4158,Brooklyn,1845 52 STREET,3-05468-7501,R4-ELEVATOR,22-R1,2629998,12,70664,37.2,BOROUGH PARK,32,1926,4711 12 AVENUE,3-05628-0001,D1-ELEVATOR,1780000,10.37,72000,24.72,BOROUGH PARK,64,1930,2010
4159,Brooklyn,1840 52 STREET,3-05468-7501,R4-ELEVATOR,22-R2,1855999,12,49800,37.3,BOROUGH PARK,28,1927,4711 12 AVENUE,3-05628-0001,D1-ELEVATOR,1780000,10.37,72000,24.72,BOROUGH PARK,64,1930,2010
4160,Brooklyn,1850 52 STREET,3-05468-7502,R2-WALK-UP,129-R1,4989999,12.89,105996,47.1,BOROUGH PARK,48,1927,843 60 STREET,3-05707-0059,C1-WALK-UP,834000,13.28,20160,41.4,BOROUGH PARK,27,1927,2010
4161,Brooklyn,1865 52 STREET,3-05468-7502,R2-WALK-UP,129-R2,2489998,12.89,52998,47,BOROUGH PARK,24,1926,843 60 STREET,3-05707-0059,C1-WALK-UP,834000,13.28,20160,41.4,BOROUGH PARK,27,1927,2010
4162,Brooklyn,5120 19 AVENUE,3-05468-7503,R4-ELEVATOR,629-R1,3770005,15.86,60000,63,BOROUGH PARK,28,0,922 42 STREET,3-05595-0014,C1-WALK-UP,1050000,15.41,32000,32.8,BOROUGH PARK,27,1924,2010
4163,Brooklyn,2131 57 STREET,3-05495-7501,R2-WALK-UP,904-R1,3399999,16.3,52632,65,BOROUGH PARK,24,2001,970 42 STREET,3-05595-0034,C1-WALK-UP,1550000,16.3,44800,34.6,BOROUGH PARK,40,1923,2010
4164,Brooklyn,6410 BAY PARKWAY,3-05550-7501,R4-ELEVATOR,2075-R1,2270006,31,15300,148,BOROUGH PARK,14,2006,440 BERRY STREET,3-02145-0018,D9-ELEVATOR,2230000,18.02,58430,38.2,WILLIAMSBURG-SOUTH,66,1995,2010
4165,Brooklyn,929 40 STREET,3-05583-7501,R2-WALK-UP,1745-R1,3810002,28.4,28060,136,BOROUGH PARK,20,2006,677 CLASSON AVENUE,3-01149-0006,C1-WALK-UP,717000,28.4,6100,118,CROWN HEIGHTS,16,1990,2010
4166,Brooklyn,1012 39 STREET,3-05584-7501,R2-WALK-UP,276-R1,644999,15.44,10556,61,BOROUGH PARK,16,1989,838 42 STREET,3-00925-0021,C1-WALK-UP,737000,15.44,14116,52,BOROUGH PARK,20,1916,2010
